timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1534797088675,18872,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797088675,1129359,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797089675,18193,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797089675,1108286,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797090676,7320,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797090676,1086104,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797091677,18333,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797091677,1128303,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797092678,13054,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797092678,1176837,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797093678,6322,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797093678,1070325,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797094679,6033,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797094679,1176415,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797095680,5628,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797095680,1016612,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797096681,8226,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797096681,1105229,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797097681,5944,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797097681,1131168,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797098682,4593,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797098682,1125750,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797099683,5540,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797099683,859666,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797100684,9090,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797100684,1009777,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797101684,12299,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797101684,1063733,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797102685,10533,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797102685,1000805,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797103686,12447,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
1534797103686,891192,10.0.2.225 Network I/O iface=enp1s0f4:unit=mb:bytessent,,,,,true,,0,0,0,0,0,0,0
1534797104687,12271,10.0.2.225 CPU combined,,,,,true,,0,0,0,0,0,0,0
